date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2025-10-14,Using AI to Assess the Decision-Usefulness of Corporates’ Nature-related Disclosures,10.1088/2515-7620/ae1357,Chiara Colesanti Senni,Environmental Research Communications,Environ. Res. Commun.,,2025,IOP Publishing,,,"Abstract
               &amp;#xD;Companies' nature-related disclosure is insufficient for decision making. This situation is unlikely to improve as long as it remains voluntary, even under initiatives such as the Task Force on Nature-related Financial Disclosures (TNFD). To investigate the decision-usefulness of these disclosures, we develop AskNature, an AI-powered Question Answering (QA) tool that uses Retrieval Augmented Generation (RAG) to analyze corporate reports and score their alignment with TNFD recommendations. We apply AskNature to the Corporate Sustainability Reports (CSRs) of the Nature Action 100 (NA100) companies, a group selected for their systemic importance in reversing nature loss. Our analysis reveals a disconnect between reporting and reality: disclosures are dominated by positive sentiment despite ongoing biodiversity loss, geographically ignore many of the world's most critical natural assets, and contain commitments that score high on declaration but low on specificity and even lower on legal enforceability. Overall, current CSR disclosures, although aligned with the TNFD, are not sufficiently decision-useful for stakeholders and lack legal enforceability."
2025-01-01,Fifty Shades of Greenwashing: The Political Economy of Climate Change Advertising on Social Media,10.48550/arxiv.2511.14930,Robert Kubinec,,,,2025,arXiv,,,"In this paper, we provide a novel measure for greenwashing -i.e., climate-related misinformation -that shows how polluting companies can use social media advertising related to climate change to redirect criticism. To do so, we identify greenwashing content in 11 million social-political ads in Meta's Ad Targeting Datset with a measurement technique that combines large language models, human coders, and advances in Bayesian item response theory. We show that what is called greenwashing has diverse actors and components, but we also identify a very pernicious form, which we call political greenwashing, that appears to be promoted by fossil fuel companies and related interest groups. Based on ad targeting data, we show that much of this advertising happens via organizations with undisclosed links to the fossil fuel industry. Furthermore, we show that greenwashing ad content is being micro-targeted at left-leaning communities with fossil fuel assets, though we also find comparatively little evidence of ad targeting aimed at influencing public opinion at the national level."
2025-01-01,Analyzing Sustainability Messaging in Large-Scale Corporate Social Media,10.48550/arxiv.2511.01550,Ujjwal Sharma,,,,2025,arXiv,,,"In this work, we introduce a multimodal analysis pipeline that leverages large foundation models in vision and language to analyze corporate social media content, with a focus on sustainability-related communication. Addressing the challenges of evolving, multimodal, and often ambiguous corporate messaging on platforms such as X (formerly Twitter), we employ an ensemble of large language models (LLMs) to annotate a large corpus of corporate tweets on their topical alignment with the 17 Sustainable Development Goals (SDGs). This approach avoids the need for costly, task-specific annotations and explores the potential of such models as ad-hoc annotators for social media data that can efficiently capture both explicit and implicit references to sustainability themes in a scalable manner.Complementing this textual analysis, we utilize vision-language models (VLMs), within a visual understanding framework that uses semantic clusters to uncover patterns in visual sustainability communication. This integrated approach reveals sectoral differences in SDG engagement, temporal trends, and associations between corporate messaging, environmental, social, governance (ESG) risks, and consumer engagement. Our methods-automatic label generation and semantic visual clustering-are broadly applicable to other domains and offer a flexible framework for large-scale social media analysis."
1978-01-01,Juhasz-Schneider Sexual Decision-Making Questionnaire,10.1037/t06541-000,"Anne McCreary Juhasz, MARY SONNENSHEIN‐SCHNEIDER",,,,1978,American Psychological Association (APA),,,"Climate decision making is constrained by the complexity and inaccessibility of key information within lengthy, technical, and multi-lingual documents. Generative AI technologies offer a promising route for improving the accessibility of information contained within these documents, but suffer from limitations. These include (1) a tendency to hallucinate or mis-represent information, (2) difficulty in steering or guaranteeing properties of generated output, and (3) reduced performance in specific technical domains. To address these challenges, we introduce a novel evaluation framework with domain-specific dimensions tailored for climate-related documents. We then apply this framework to evaluate Retrieval-Augmented Generation (RAG) approaches and assess retrieval-and generationquality within a prototype tool that answers questions about individual climate law and policy documents. In addition, we publish a human-annotated dataset and scalable automated evaluation tools, with the aim of facilitating broader adoption and robust assessment of these systems in the climate domain. Our findings highlight the key components of responsible deployment of RAG to enhance decision-making, while also providing insights into user experience (UX) considerations for safely deploying such systems to build trust with users in high-risk domains."
2023-01-01,Proceedings of the Sixth Workshop on Financial Technology and Natural Language Processing,10.18653/v1/2023.finnlp-2,"Pau Rodriguez Inserte, Mariam Nakhlé, Raheel Qader, Gaëtan Caillaut, Jingshu Liu, Stella Biderman, Hailey Schoelkopf, Quentin Anthony, Herbie Bradley, Kyle O'brien, Eric Hallahan, Mo- Hammad Khan, Shivanshu Purohit, Sai Prashanth, Edward Raff, Jacob Devlin, Ming‐Wei Chang, Kenton Lee, Kristina Toutanova, Leo Gao, Sid Black, Laurence Gold, Travis Hoppe, Charles Wilmer Foster, Jason Phang, J. Edward Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen, Macedo Maia, Siegfried Handschuh, André Freitas, Teven Le Scao, Angela Fan, Christopher Akiki, El- Lie Pavlick, Ankur Sinha, Tanmay Khandait, Hugo Touvron, Thibaut Lavril, Gautier Izacard, Xavier Martinet, Marie-Anne Lachaux, Timothée Lacroix, Baptiste Rozière, Naman Goyal, Eric Hambro, Faisal Azhar, Aurelien Rodriguez, Armand Joulin, Édouard Grave, Guillaume Lample, Llama, Louis Touvron, K. P. Martin, Peter Stone, Amjad Al- Bert, Yasmine Almahairi, Nikolay Babaei, Soumya Bashlykov, Prajjwal Batra, Shruti Bhargava Choubey, Dan Bhosale, Lukas Bikel, Cristian Blecher, Moya Ferrer, Guillem Chen, David Cucurull, Jude Esiobu, Jeremy Fernandes, Wenyin Fu, Brian Fu, C. J. Fuller, Vedanuj Gao, Naman Goswami, An- Thony Goyal, Saghar Hartshorn, Rui Hosseini, Hakan Hou, Marcin Inan, Viktor Kardas, Madian Kerkez, Isabel Khabsa, Artem Kloumann, Singh Korenev, M. Koura, Thibaut Lachaux, Jenya Lavril, Di- Ana Lee, Yinghai Liskovich, Yuning Lu, Xavier Mao, Todor Mar- Tinet, Pushkar Mihaylov, Igor Mishra, Yixin Moly- Bog, Andrew Nie, Jeremy Poulton, Rashi Reizen- Stein, Kalyan Rungta, Alan Saladi, Ruan Schelten, E. C. e Silva, Ranjan Smith, Ellen Subrama- Nian, Binh Tan, R B Tang, Adina Tay- Lor, J. B. Williams, P.-F. Kuan, Zheng Xu, Iliyan Yan, Yuchen Zarov, Angela Zhang, M.W. Fan, Sharan Kambadur, Aurelien Narang, Robert Ro- Driguez, Sergey Stojnic, Thomas Edunov, Open, Noam Vaswani, Niki Shazeer, Jakob Parmar, Llion Uszkoreit, Aidan Jones, L. Gomez, Illia Kaiser, Ozan Wu, Steven Irsoy, Vadim Lu, Mark Dabravolski, Sebastian Dredze, Kam- Badur Gehrmann, David Rosenberg, Gideon Mann, Weiguang Xie, Han Xiao, Yanzhao Zhang, Min Lai, Alejandro Peng, Jimin Lopez-Lira, Susan Zhang, Stephen Roller, Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher De- Wan, Mona Diab, Xian Li, Victoria Lin, Myle Ott, Sam Shleifer, Kurt Shuster, Daniel Simig, Singh Koura, Anjali Sridhar, Tianlu Wang, Luke Zettlemoyer, Chunting Zhou, Pengfei Liu, Puxin Xu, Srini Iyer, Henri Arno, Klaas Mulier, Joke Baeck, Thomas Demeester, Pawan Kumar, Ankur P. Parikh, Chung-Chi Chen, Yu-Min Tseng, Juyeon Kang, Anaïs Lhuissier, Yohei Seki, Min-Yuh Day, Teng-Tsai Tu, Hsin‐Hsi Chen, Qiu Le, G Jinghang, Yu-Yin Hsu, Emmanuele Chersoni, Anna Polyanskaya, Lucas G. Fernández, Brillet Stockfink, Ali Akbar Septiandri",,,,2023,Association for Computational Linguistics,,,"Natural language processing (NLP) has recently gained relevance within financial institutions by providing highly valuable insights into companies and markets' financial documents. However, the landscape of the financial domain presents extra challenges for NLP, due to the complexity of the texts and the use of specific terminology. Generalist language models tend to fall short in tasks specifically tailored for finance, even when using large language models (LLMs) with great natural language understanding and generative capabilities. This paper presents a study on LLM adaptation methods targeted at the financial domain and with high emphasis on financial sentiment analysis. To this purpose, two foundation models with less than 1.5B parameters have been adapted using a wide range of strategies. We show that through careful fine-tuning on both financial documents and instructions, these foundation models can be adapted to the target domain. Moreover, we observe that small LLMs have comparable performance to larger scale models, while being more efficient in terms of parameters and data. In addition to the models, we show how to generate artificial instructions through LLMs to augment the number of samples of the instruction dataset."
2024-03-24,ESG Accountability Made Easy: DocQA at Your Service,10.1609/aaai.v38i21.30574,"Lokesh Mishra, Cèsar Berrospi, Kasper Dinkla, Diego Antognini, Francesco Fusco, Benedikt Bothur, Maksym Lysak, Nikolaos Livathinos, Ahmed Nassar, Panagiotis Vagenas, Lucas Morin, Christoph Auer, Michele Dolfi, Peter Staar",Proceedings of the Aaai Conference on Artificial Intelligence,AAAI,38,2024,Association for the Advancement of Artificial Intelligence (AAAI),21,23814-23816,"We present Deep Search DocQA. This application enables information extraction from documents via a question-answering conversational assistant. The system integrates several technologies from different AI disciplines consisting of document conversion to machine-readable format (via computer vision), finding relevant data (via natural language processing), and formulating an eloquent response (via large language models). Users can explore over 10,000 Environmental, Social, and Governance (ESG) disclosure reports from over 2000 corporations. The Deep Search platform can be accessed at: https://ds4sd.github.io."
2025-01-01,Evidence-Bound Autonomous Research (EviBound): A Governance Framework for Eliminating False Claims,10.48550/arxiv.2511.05524,Ruiying Chen,,,,2025,arXiv,,,"LLM-based autonomous research agents report false claims: tasks marked ""complete"" despite missing artifacts, contradictory metrics, or failed executions. EviBound is an evidence-bound execution framework that eliminates false claims through dual governance gates requiring machine-checkable evidence.Two complementary gates enforce evidence requirements. The pre-execution Approval Gate validates acceptance criteria schemas before code runs, catching structural violations proactively. The post-execution Verification Gate validates artifacts via MLflow API queries [16] (with recursive path checking) and optionally validates metrics when specified by acceptance criteria. Claims propagate only when backed by a queryable run id, required artifacts, and FINISHED status. Bounded, confidence-gated retries (typically 1-2 attempts) recover from transient failures without unbounded loops.The framework was evaluated on 8 benchmark tasks spanning infrastructure validation, ML capabilities, and governance stress tests. Baseline A (Prompt-Level Only) yields 100% hallucination (8/8 claimed, 0/8 verified). Baseline B (Verification-Only) reduces hallucination to 25% (2/8 fail verification). EviBound (Dual Gates) achieves 0% hallucination: 7/8 tasks verified and 1 task correctly blocked at the approval gate-all with only ∼8.3% execution overhead.This package includes execution trajectories, MLflow run ids for all verified tasks, and a 4-step verification protocol. Research integrity is an architectural property-achieved through governance gates rather than emergent from model scale."
2025-01-01,"Flash-Fusion: Enabling Expressive, Low-Latency Queries on IoT Sensor Streams with LLMs",10.48550/arxiv.2511.11885,Kausar Patherya,,,,2025,arXiv,,,"Smart cities and pervasive IoT sensor deployments have generated significant interest in IoT data analysis across fields like transportation and urban planning. At the same time, the rise of Large Language Models offer a new tool for exploring IoT data -particularly using its natural language interface for improved expressibility. Users today face two main challenges with gathering and interpreting IoT data today with LLMs: (1) data collection infrastructure is expensive, generating terabytes daily of low-level sensor readings that are too granular for immediate use, and (2) data analysis is time-consuming, requiring time-consuming iteration and technical expertise. Directly feeding all IoT telemetry to LLMs is impractical due to finite context windows, prohibitive token consumption (hundreds of millions of dollars at enterprise scales), and non-interactive latencies. What is missing is a system that first parses the user's query to determine the required analytical task, then selects the relevant data slices, and finally chooses the right representation before invoking an LLM.To address these challenges, we present Flash-Fusion, an end-to-end edge-cloud system that addresses the IoT data collection and data analysis burden on users. Two core principles guide its design: (1) edge-based statistical summarization (achieving 73.5% data reduction) to tackle the data volume problem; and (2) cloud-based query planning that clusters behavioral data and assembles context-rich prompts to tackle the data interpretation problem. We deploy Flash-Fusion on a university bus fleet and evaluate against a baseline that feeds raw data directly to a state-of-the-art LLM. It achieves a 95% latency reduction and 98% decrease in token usage and costs while maintaining high-quality responses. Flash-Fusion enables personas across various disciplines -safety officers, urban planners, fleet managers, and data scientiststo quickly and efficiently iterate over IoT data without the burden of query authoring and preprocessing."
2025-01-01,Scaling Beyond Context: A Survey of Multimodal Retrieval-Augmented Generation for Document Understanding,10.48550/arxiv.2510.15253,Sensen Gao,,,,2025,arXiv,,,"Document understanding is critical for applications from financial analysis to scientific discovery. Current approaches, whether OCR-based pipelines feeding Large Language Models (LLMs) or native Multimodal LLMs (MLLMs), face key limitations: the former loses structural detail, while the latter struggles with context modeling. Retrieval-Augmented Generation (RAG) helps ground models in external data, but documents' multimodal nature, i.e., combining text, tables, charts, and layout, demands a more advanced paradigm: Multimodal RAG. This approach enables holistic retrieval and reasoning across all modalities, unlocking comprehensive document intelligence. Recognizing its importance, this paper presents a systematic survey of Multimodal RAG for document understanding. We propose a taxonomy based on domain, retrieval modality, and granularity, and review advances involving graph structures and agentic frameworks. We also summarize key datasets, benchmarks, and applications, and highlight open challenges in efficiency, fine-grained representation, and robustness, providing a roadmap for future progress in document AI."
2025-01-01,Document Intelligence in the Era of Large Language Models: A Survey,10.48550/arxiv.2510.13366,Weishi Wang,,,,2025,arXiv,,,"Document AI (DAI) has emerged as a vital application area, and is significantly transformed by the advent of large language models (LLMs). While earlier approaches relied on encoder-decoder architectures, decoder-only LLMs have revolutionized DAI, bringing remarkable advancements in understanding and generation. This survey provides a comprehensive overview of DAI's evolution, highlighting current research attempts and future prospects of LLMs in this field. We explore key advancements and challenges in multimodal, multilingual, and retrieval-augmented DAI, while also suggesting future research directions, including agent-based approaches and document-specific foundation models. This paper aims to provide a structured analysis of the state-of-the-art in DAI and its implications for both academic and practical applications."
2022-01-01,Unified Pretraining Framework for Document Understanding,10.48550/arxiv.2204.10939,"Jiuxiang Gu, Jason Kuen, Vlad I. Morariu, Handong Zhao, Nikolaos Barmpalios, Rajiv Jain, Ani Nenkova, Tong Sun",,,,2022,arXiv,,,"Document intelligence automates the extraction of information from documents and supports many business applications. Recent self-supervised learning methods on large-scale unlabeled document datasets have opened up promising directions towards reducing annotation efforts by training models with self-supervised objectives. However, most of the existing document pretraining methods are still language-dominated. We present UDoc, a new unified pretraining framework for document understanding. UDoc is designed to support most document understanding tasks, extending the Transformer to take multimodal embeddings as input. Each input element is composed of words and visual features from a semantic region of the input document image. An important feature of UDoc is that it learns a generic representation by making use of three self-supervised losses, encouraging the representation to model sentences, learn similarities, and align modalities. Extensive empirical analysis demonstrates that the pretraining procedure learns better joint representations and leads to improvements in downstream tasks.35th Conference on Neural Information Processing Systems (NeurIPS 2021)."
2023-01-01,DUBLIN: Visual Document Understanding By Language-Image Network,10.18653/v1/2023.emnlp-industry.65,"Kriti Aggarwal, Aditi Khandelwal, Kumar Tanmay, Owais Khan Mohammed, Qiang Liu, Monojit Choudhury, Hardik Chauhan, Subhojit Som, Vishrav Chaudhary, Saurabh Tiwary",,,,2023,Association for Computational Linguistics,,693-706,"In this paper, we present DUBLIN, a pixelbased model for visual document understanding that does not rely on OCR. DUBLIN can process both images and texts in documents just by the pixels and handle diverse document types and tasks. DUBLIN is pretrained on a large corpus of document images with novel tasks that enhance its visual and linguistic abilities. We evaluate DUBLIN on various benchmarks and show that it achieves state-of-theart performance on extractive tasks such as DocVQA, InfoVQA, AI2D, OCR-VQA, Ref-Exp, and CORD, as well as strong performance on abstraction datasets such as VisualMRC and text captioning. Our model demonstrates the potential of OCR-free document processing and opens new avenues for applications and research."
2023-01-01,UReader: Universal OCR-free Visually-situated Language Understanding with Multimodal Large Language Model,10.18653/v1/2023.findings-emnlp.187,"Jiabo Ye, Anwen Hu, Haiyang Xu, Qinghao Ye, Ming Yan, Guohai Xu, Chenliang Li, Junfeng Tian, Qi Qian, Ji Zhang, Qin Jin, Liang He, Xin Lin, Fei Huang",,,,2023,Association for Computational Linguistics,,2841-2858,"single model achieves state-of-the-art ocr-free performance in 8 out of 10 visually-situated language understanding tasks, across 5 domains: documents, tables, charts, natural images, and webpage screenshots. Codes and instruction-tuning datasets are released at https://github.com/LukeForeverYoung/UReader."
2025-01-01,Qwen3-VL Technical Report,10.48550/arxiv.2511.21631,Shuai Bai,,,,2025,arXiv,,,"We introduce Qwen3-VL, the most capable vision-language model in the Qwen series to date, achieving superior performance across a broad range of multimodal benchmarks. It natively supports interleaved contexts of up to 256K tokens, seamlessly integrating text, images, and video. The model family includes both dense (2B/4B/8B/32B) and mixture-of-experts (30B-A3B/235B-A22B) variants to accommodate diverse latency-quality trade-offs. Qwen3-VL delivers three core pillars: (i) markedly stronger pure-text understanding, surpassing comparable text-only backbones in several cases; (ii) robust long-context comprehension with a native 256K-token window for both text and interleaved multimodal inputs, enabling faithful retention, retrieval, and crossreferencing across long documents and videos; and (iii) advanced multimodal reasoning across single-image, multi-image, and video tasks, demonstrating leading performance on comprehensive evaluations such as MMMU and visual-math benchmarks (e.g., Math-Vista and MathVision). Architecturally, we introduce three key upgrades: (i) an enhanced interleaved-MRoPE for stronger spatial-temporal modeling across images and video; (ii) DeepStack integration, which effectively leverages multi-level ViT features to tighten vision-language alignment; and (iii) text-based time alignment for video, evolving from T-RoPE to explicit textual timestamp alignment for more precise temporal grounding. To balance text-only and multimodal learning objectives, we apply square-root reweighting, which boosts multimodal performance without compromising text capabilities. We extend pretraining to a context length of 256K tokens and bifurcate post-training into non-thinking and thinking variants to address distinct application requirements. Furthermore, we allocate additional compute resources to the post-training phase to further enhance model performance. Under comparable token budgets and latency constraints, Qwen3-VL achieves superior performance in both dense and Mixture-of-Experts (MoE) architectures. We envision Qwen3-VL serving as a foundational engine for image-grounded reasoning, agentic decision-making, and multimodal code intelligence in real-world workflows."
2025-01-01,Hybrid OCR-LLM Framework for Enterprise-Scale Document Information Extraction Under Copy-heavy Task,10.48550/arxiv.2510.10138,Zilong Wang,,,,2025,arXiv,,,"Information extraction from copy-heavy documents, characterized by massive volumes of structurally similar content, represents a critical yet understudied challenge in enterprise document processing. We present a systematic framework that strategically combines OCR engines with Large Language Models (LLMs) to optimize the accuracy-efficiency trade-off inherent in repetitive document extraction tasks. Unlike existing approaches that pursue universal solutions, our method exploits document-specific characteristics through intelligent strategy selection. We implement and evaluate 25 configurations across three extraction paradigms (direct, replacement, and tablebased) on identity documents spanning four formats (PNG, DOCX, XLSX, PDF). Through table-based extraction methods, our adaptive framework delivers outstanding results: F1=1.0 accuracy with 0.97s latency for structured documents, and F1=0.997 accuracy with 0.6 s for challenging image inputs when integrated with PaddleOCR, all while maintaining sub-second processing speeds. The 54× performance improvement compared with multimodal methods over naive approaches, coupled with formataware routing, enables processing of heterogeneous document streams at production scale. Beyond the specific application to identity extraction, this work establishes a general principle: the repetitive nature of copy-heavy tasks can be transformed from a computational burden into an optimization opportunity through structure-aware method selection."
2025-01-01,"Pharos-ESG: A Framework for Multimodal Parsing, Contextual Narration, and Hierarchical Labeling of ESG Report",10.48550/arxiv.2511.16417,Yan Chen,,,,2025,arXiv,,,"Environmental, Social, and Governance (ESG) principles are reshaping the foundations of global financial governance, transforming capital allocation architectures, regulatory frameworks, and systemic risk coordination mechanisms. However, as the core medium for assessing corporate ESG performance, the ESG reports present significant challenges for large-scale understanding, due to chaotic reading order from slide-like irregular layouts and implicit hierarchies arising from lengthy, weakly structured content. To address these challenges, we propose Pharos-ESG, a unified framework that transforms ESG reports into structured representations through multimodal parsing, contextual narration, and hierarchical labeling. It integrates a reading-order modeling module based on layout flow, hierarchy-aware segmentation guided by table-of-contents anchors, and a multimodal aggregation pipeline that contextually transforms visual elements into coherent natural language. The framework further enriches its outputs with ESG, GRI, and sentiment labels, yielding annotations aligned with the analytical demands of financial research. Extensive experiments on annotated benchmarks demonstrate that Pharos-ESG consistently outperforms both dedicated document parsing systems and general-purpose multimodal models. In addition, we release Aurora-ESG, the first large-scale public dataset of ESG reports, spanning Mainland China, Hong Kong, and U.S. markets, featuring unified structured representations of multimodal content, enriched with fine-grained layout and semantic annotations to better support ESG integration in financial governance and decision-making."
2025-01-01,PaddleOCR-VL: Boosting Multilingual Document Parsing via a 0.9B Ultra-Compact Vision-Language Model,10.48550/arxiv.2510.14528,Cheng Cui,,,,2025,arXiv,,,"In this report, we propose PaddleOCR-VL, a SOTA and resource-efficient model tailored for document parsing. Its core component is PaddleOCR-VL-0.9B, a compact yet powerful visionlanguage model (VLM) that integrates a NaViT-style dynamic resolution visual encoder with the ERNIE-4.5-0.3B language model to enable accurate element recognition. This innovative model efficiently supports 109 languages and excels in recognizing complex elements (e.g., text, tables, formulas, and charts), while maintaining minimal resource consumption. Through comprehensive evaluations on widely used public benchmarks and in-house benchmarks, PaddleOCR-VL achieves SOTA performance in both page-level document parsing and elementlevel recognition. It significantly outperforms existing solutions, exhibits strong competitiveness against top-tier VLMs, and delivers fast inference speeds. These strengths make it highly suitable for practical deployment in real-world scenarios."
2024-02-19,MSIE-Net: Associative Entity-Based Multi-Stage Network for Structured Information Extraction from Reports,10.3390/app14041668,"Qiuyue Li, Hao Sheng, Mingxue Sheng, Honglin Wan",Applied Sciences,Applied Sciences,14,2024,MDPI AG,4,1668,"Efficient document recognition and sharing remain challenges in the healthcare, insurance, and finance sectors. One solution to this problem has been the use of deep learning techniques to automatically extract structured information from paper documents. Specifically, the structured extraction of a medical examination report (MER) can enhance medical efficiency, data analysis, and scientific research. While current methods focus on reconstructing table bodies, they often overlook table headers, leading to incomplete information extraction. This paper proposes MSIE-Net (multi-stage-structured information extraction network), a novel structured information extraction method, leveraging refined attention transformers and associated entity detection to enhance comprehensive MER information retrieval. MSIE-Net includes three stages. First, the RVI-LayoutXLM (refined visual-feature independent LayoutXLM) targets key information extraction. In this stage, the refined attention accentuates the interaction between different modalities by adjusting the attention score at the current position using previous position information. This design enables the RVI-LayoutXLM to learn more specific contextual information to improve extraction performance. Next, the associated entity detection module, RIFD-Net (relevant intra-layer fine-tuned detection network), identifies each test item’s location within the MER table body. Significantly, the backbone of RIFD-Net incorporates the intra-layer feature adjustment module (IFAM) to extract global features while homing in on local areas, proving especially sensitive for inspection tasks with dense and long bins. Finally, structured post-processing based on coordinate aggregation links the outputs from the prior stages. For the evaluation, we constructed the Chinese medical examination report dataset (CMERD), based on real medical scenarios. MSIE-Net demonstrated competitive performance in tasks involving key information extraction and associated entity detection. Experimental results validate MSIE-Net’s capability to successfully detect key entities in MER and table images with various complex layouts, perform entity relation extraction, and generate structured labels, laying the groundwork for intelligent medical documentation."
2023-01-01,A Scalable Framework for Table of Contents Extraction from Complex ESG Annual Reports,10.18653/v1/2023.emnlp-main.816,"Xinyu Wang, Lin Gui, Yulan He",,,,2023,Association for Computational Linguistics,,13215-13229,"Table of contents (ToC) extraction centres on structuring documents in a hierarchical manner. In this paper, we propose a new dataset, ESGDoc, comprising 1,093 ESG annual reports from 563 companies spanning from 2001 to 2022. These reports pose significant challenges due to their diverse structures and extensive length. To address these challenges, we propose a new framework for Toc extraction, consisting of three steps: (1) Constructing an initial tree of text blocks based on reading order and font sizes; (2) Modelling each tree node (or text block) independently by considering its contextual information captured in node-centric subtree; (3) Modifying the original tree by taking appropriate action on each tree node (Keep, Delete, or Move). This construction-modellingmodification (CMM) process offers several benefits. It eliminates the need for pairwise modelling of section headings as in previous approaches, making document segmentation practically feasible. By incorporating structured information, each section heading can leverage both local and long-distance context relevant to itself. Experimental results show that our approach outperforms the previous state-of-theart baseline with a fraction of running time. Our framework proves its scalability by effectively handling documents of any length. 1"
2025-01-01,SciEGQA: A Dataset for Scientific Evidence-Grounded Question Answering and Reasoning,10.48550/arxiv.2511.15090,Wenhan Yu,,,,2025,arXiv,,,"Document Visual Question Answering (DocVQA) is a fundamental task for multimodal document understanding and a key testbed for vision-language reasoning. However, most existing DocVQA datasets are limited to the page level and lack fine-grained spatial grounding, constraining the interpretability and reasoning capability of Vision-Language Models (VLMs). To address this gap, we introduce BBox-DocVQA-a large-scale, bounding-box-grounded dataset designed to enhance spatial reasoning and evidence localization in visual documents. We further present an automated construction pipeline, Segment-Judge-and-Generate, which integrates a segment model for region segmentation, a VLM for semantic judgment, and another advanced VLM for question-answer generation, followed by human verification for quality assurance. The resulting dataset contains 3.6 K diverse documents and 32 K QA pairs, encompassing single-and multi-region as well as single-and multi-page scenarios. Each QA instance is grounded on explicit bounding boxes, enabling fine-grained evaluation of spatial-semantic alignment. Benchmarking multiple state-of-the-art VLMs (e.g., GPT-5, Qwen2.5-VL, and InternVL) on BBox-DocVQA reveals persistent challenges in spatial grounding and reasoning accuracy. Hence, our dataset can contribute to advancing research on interpretable and spatially grounded vision-language reasoning."
2025-01-01,SlideAgent: Hierarchical Agentic Framework for Multi-Page Visual Document Understanding,10.48550/arxiv.2510.26615,Yiqiao Jin,,,,2025,arXiv,,,"Multi-page visual documents such as manuals, brochures, presentations, and posters convey key information through layout, colors, icons, and cross-slide references. While large language models (LLMs) offer opportunities in document understanding, current systems struggle with complex, multi-page visual documents, particularly in fine-grained reasoning over elements and pages. We introduce SlideAgent, a versatile agentic framework for understanding multi-modal, multi-page, and multi-layout documents, especially slide decks. SlideAgent employs specialized agents and decomposes reasoning into three specialized levels-global, page, and element-to construct a structured, query-agnostic representation that captures both overarching themes and detailed visual or textual cues. During inference, SlideAgent selectively activates specialized agents for multilevel reasoning and integrates their outputs into coherent, context-aware answers. Extensive experiments show that SlideAgent achieves significant improvement over both proprietary (+7.9) and open-source models (+9.8).Challenges. Accurately interpreting these multipage, multi-modal artifacts remains challenging. Recent advances in multimodal large language models (MLLMs) have accelerated document understanding (Verma et al., 2024), yet three gaps * Work done as an intern at J.P. Morgan AI Research.The product mix for GWP Q2 2015 includes how many categories? Input Element 𝑞 VS ""Seven"" ""Eight"""
2025-01-01,SDS KoPub VDR: A Benchmark Dataset for Visual Document Retrieval in Korean Public Documents,10.48550/arxiv.2511.04910,Jaehoon Lee,,,,2025,arXiv,,,"Existing benchmarks for visual document retrieval (VDR) largely overlook non-English languages and the structural complexity of official publications. To address this gap, we introduce SDS KoPub VDR, the first large-scale, public benchmark for retrieving and understanding Korean public documents. The benchmark is built upon 361 real-world documents, including 256 files under the KOGL Type 1 license and 105 from official legal portals, capturing complex visual elements like tables, charts, and multi-column layouts. To establish a reliable evaluation set, we constructed 600 query-page-answer triples. These were initially generated using multimodal models (e.g., GPT-4o) and subsequently underwent human verification to ensure factual accuracy and contextual relevance. The queries span six major public domains and are categorized by the reasoning modality required: text-based, visual-based, and cross-modal. We evaluate SDS KoPub VDR on two complementary tasks: (1) text-only retrieval and (2) multimodal retrieval, which leverages visual features alongside text. This dual-task evaluation reveals substantial performance gaps, particularly in multimodal scenarios requiring cross-modal reasoning, even for state-of-the-art models. As a foundational resource, SDS KoPub VDR enables rigorous and fine-grained evaluation and provides a roadmap for advancing multimodal AI in real-world document intelligence."
2024-11-01,Greenwashing: A systematic literature review,10.1111/acfi.13352,"Huang Zhen, Yanxuan Shi, Ming Jia",Accounting and Finance,Accounting & Finance,65,2024,Wiley,1,857-882,"AbstractThis systematic review provides a comprehensive overview of greenwashing through an analysis of 180 academic articles published in 58 journals from 1997 to 2023. The review examines the fragmented definitions, measurements, and manifestations of greenwashing. Furthermore, a framework of greenwashing was developed by systematically reviewing the motivations and outcomes of greenwashing and its mediators and moderators at both the firm level and the external level. Finally, the review highlights three directions for future research on greenwashing, offering useful guidance for future academic studies, government policy, and corporate practice."
2024-07-19,Identifying greenwashing in corporate‐social responsibility reports using natural‐language processing,10.1111/eufm.12509,"Nina Gorovaia, Michalis Makrominas",European Financial Management,Euro Fin Management,31,2024,Wiley,1,427-462,"AbstractA textual analysis of corporate‐social responsibility (CSR) reports reveals that companies engaged in environmental violations report differently from firms with a clean record. The violators issue longer, more positive and more frequent reports to relay environmental content that is more copious but less readable. The violator firms appear to modify their reporting practices right after committing a violation. The findings suggest that culpable firms exploit the current unregulated–unaudited state of CSR reporting as a means of greenwashing and call for institutional change. Our results are robust to a number of industry‐firm characteristics, including board composition, ownership dispersion and international presence."
